Card_ID,FCD_ID,Transaction_Type,Time,Station_Name
100928374,GT-HI-01,21,2026-05-10 07:28:03,Bundaran HI Astra
100837291,GT-HI-02,21,2026-05-10 07:28:17,Bundaran HI Astra
100764523,GT-HI-01,21,2026-05-10 07:28:34,Bundaran HI Astra
100912837,GT-HI-03,21,2026-05-10 07:28:51,Bundaran HI Astra
100845612,GT-HI-02,21,2026-05-10 07:29:05,Bundaran HI Astra
100783920,GT-HI-01,21,2026-05-10 07:29:19,Bundaran HI Astra
100956341,GT-HI-03,21,2026-05-10 07:29:33,Bundaran HI Astra
100821047,GT-HI-02,21,2026-05-10 07:29:48,Bundaran HI Astra
100734865,GT-HI-01,21,2026-05-10 07:30:02,Bundaran HI Astra
100998234,GT-HI-03,21,2026-05-10 07:30:15,Bundaran HI Astra
100867452,GT-HI-02,21,2026-05-10 07:30:29,Bundaran HI Astra
100723918,GT-HI-01,21,2026-05-10 07:30:44,Bundaran HI Astra
100845730,GT-HI-03,21,2026-05-10 07:30:58,Bundaran HI Astra
100912056,GT-HI-02,21,2026-05-10 07:31:12,Bundaran HI Astra
100778341,GT-HI-01,21,2026-05-10 07:31:27,Bundaran HI Astra
100634872,GT-SD-01,21,2026-05-10 07:28:10,Sudirman
100719283,GT-SD-02,21,2026-05-10 07:28:25,Sudirman
100856491,GT-SD-01,21,2026-05-10 07:28:40,Sudirman
100923847,GT-SD-02,21,2026-05-10 07:28:55,Sudirman
100741236,GT-SD-01,21,2026-05-10 07:29:10,Sudirman
100885623,GT-SD-02,21,2026-05-10 07:29:25,Sudirman
100762849,GT-SD-01,21,2026-05-10 07:29:40,Sudirman
100934712,GT-SD-02,21,2026-05-10 07:29:55,Sudirman
100817364,GT-SD-01,21,2026-05-10 07:30:10,Sudirman
100658923,GT-SD-02,21,2026-05-10 07:30:25,Sudirman
100743812,GT-BK-01,21,2026-05-10 07:28:08,Blok M
100891234,GT-BK-02,21,2026-05-10 07:28:22,Blok M
100762518,GT-BK-01,21,2026-05-10 07:28:37,Blok M
100834967,GT-BK-02,21,2026-05-10 07:28:52,Blok M
100921583,GT-BK-01,21,2026-05-10 07:29:07,Blok M
100678234,GT-BK-02,21,2026-05-10 07:29:22,Blok M
100845921,GT-BK-01,21,2026-05-10 07:29:37,Blok M
100713648,GT-BK-02,21,2026-05-10 07:29:52,Blok M
100956782,GT-BK-01,21,2026-05-10 07:30:07,Blok M
100824315,GT-BK-02,21,2026-05-10 07:30:22,Blok M
100739281,GT-KB-01,21,2026-05-10 07:28:05,Kuningan Barat
100862453,GT-KB-02,21,2026-05-10 07:28:20,Kuningan Barat
100791836,GT-KB-01,21,2026-05-10 07:28:35,Kuningan Barat
100924517,GT-KB-02,21,2026-05-10 07:28:50,Kuningan Barat
100683741,GT-KB-01,21,2026-05-10 07:29:05,Kuningan Barat
100857293,GT-KB-02,21,2026-05-10 07:29:20,Kuningan Barat
100742618,GT-KB-01,21,2026-05-10 07:29:35,Kuningan Barat
100913824,GT-KB-02,21,2026-05-10 07:29:50,Kuningan Barat
100768435,GT-KB-01,21,2026-05-10 07:30:05,Kuningan Barat
100831962,GT-KB-02,21,2026-05-10 07:30:20,Kuningan Barat
100694827,GT-ST-01,21,2026-05-10 07:28:12,Semanggi
100843619,GT-ST-02,21,2026-05-10 07:28:27,Semanggi
100772384,GT-ST-01,21,2026-05-10 07:28:42,Semanggi
100935261,GT-ST-02,21,2026-05-10 07:28:57,Semanggi
100817453,GT-ST-01,21,2026-05-10 07:29:12,Semanggi
